Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
0,7,1,0,10,14,-1
0,7,2,0,10,13,-1
0,7,3,0,11,13,-1
3,6,3,0,11,12,-1
0,6,4,0,12,12,-1
3,5,4,0,12,13,-1
0,5,5,0,11,13,-1
0,5,6,0,11,14,-1
3,4,6,0,12,14,-1
0,4,7,0,13,14,-1
1,5,7,0,12,14,-1
3,4,7,0,13,14,-1
3,3,7,0,12,14,-1
1,4,7,0,12,13,-1
1,5,7,0,12,12,-1
1,6,7,0,13,12,-1
3,5,7,0,13,11,-1
3,4,7,0,13,12,-1
3,3,7,0,12,12,-1
0,3,8,0,12,11,-1
1,4,8,0,12,12,-1
0,4,9,0,12,13,-1
0,4,10,0,11,13,-1
3,3,10,0,11,14,-1
1,4,10,0,11,13,-1
0,4,11,0,12,13,-1
1,5,11,0,12,14,-1
0,5,12,0,13,14,-1
0,5,13,0,14,14,-1
2,5,12,0,13,14,-1
0,5,13,0,13,13,-1
1,6,13,0,14,13,-1
1,7,13,0,14,12,-1
1,8,13,0,14,13,-1
0,8,14,1,13,12,-1
2,8,13,0,11,13,-1
3,7,13,0,11,14,-1
0,7,14,1,11,13,999
0,7,14,1,11,13,999
