Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,7,0
1,8,0,0,13,7,-1
0,8,1,0,13,6,-1
1,9,1,0,13,5,-1
3,8,1,0,12,5,-1
2,8,0,0,11,5,-1
0,8,1,0,12,5,-1
1,9,1,0,12,4,-1
1,10,1,0,12,5,-1
1,11,1,0,11,5,-1
3,10,1,0,10,5,-1
3,9,1,0,11,5,-1
3,8,1,0,12,5,-1
2,8,0,0,11,5,-1
3,7,0,1,10,5,-1
0,7,1,0,9,5,-1
3,6,1,0,9,4,-1
2,6,0,1,9,3,-1
3,5,0,0,9,5,-1
1,6,0,0,9,4,-1
3,5,0,0,9,5,-1
1,6,0,0,10,5,-1
3,5,0,0,9,5,-1
1,6,0,0,9,4,-1
0,6,1,0,9,3,-1
2,6,0,0,10,3,-1
3,5,0,1,9,3,-1
1,6,0,0,10,3,-1
3,5,0,1,9,3,-1
1,6,0,1,10,2,-1
0,6,1,1,9,1,-1
1,7,1,1,8,1,-1
2,7,0,1,7,1,-1
3,6,0,1,6,0,-101
3,6,0,1,6,0,-101
