Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
-731.4860000809261,0,13,0.14504790306091309,-1014.0
-865.5646372854002,1,6,0.08693313598632812,-1007.0
-886.7329613183592,2,5,0.059256792068481445,-1006.0
-786.0527656430365,3,10,0.2055501937866211,-1011.0
-865.5646372854002,4,6,0.06483316421508789,-1007.0
-649.2653366896044,5,18,0.20416593551635742,-1019.0
-805.1823237364478,6,9,0.09805989265441895,-1010.0
-805.1823237364478,7,9,0.13901090621948242,-1010.0
-844.9255213532653,8,7,0.07064580917358398,-1008.0
-731.4860000809261,9,13,0.13401389122009277,-1014.0
-767.4014465019607,10,11,0.15375995635986328,-1012.0
-749.2164103394115,11,12,0.12385201454162598,-1013.0
-865.5646372854002,12,6,0.10644793510437012,-1007.0
-805.1823237364478,13,9,0.09337401390075684,-1010.0
-680.9102818562571,14,16,0.1803901195526123,-1017.0
-749.2164103394115,15,12,0.22359323501586914,-1013.0
-805.1823237364478,16,9,0.17111611366271973,-1010.0
-930.7118593749999,17,3,0.04306197166442871,-1004.0
-930.7118593749999,18,3,0.06634402275085449,-1004.0
-886.7329613183592,19,5,0.07630801200866699,-1006.0
-930.7118593749999,20,3,0.057066917419433594,-1004.0
-805.1823237364478,21,9,0.20828604698181152,-1010.0
-805.1823237364478,22,9,0.18555903434753418,-1010.0
-844.9255213532653,23,7,0.09002685546875,-1008.0
-844.9255213532653,24,7,0.10325098037719727,-1008.0
