Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
3,4,0,1,0,-1
1,5,0,1,1,-1
1,6,0,1,2,-1
1,7,0,1,3,-1
3,6,0,2,3,-1
1,7,0,3,3,-1
1,8,0,4,3,-1
1,9,0,4,2,-1
3,8,0,4,3,-1
1,9,0,4,2,-1
1,10,0,5,2,-1
0,10,1,5,3,-1
2,10,0,5,2,-1
3,9,0,5,1,-1
1,10,0,6,1,-1
0,10,1,6,2,-1
2,10,0,6,1,-1
0,10,1,6,0,-1
0,10,2,5,0,-1
2,10,1,6,0,-1
0,10,2,7,0,-1
0,10,3,8,0,-1
3,9,3,9,0,-1
2,9,2,8,0,-1
3,8,2,7,0,-1
1,9,2,6,0,-1
3,8,2,7,0,-1
1,9,2,6,0,-1
3,8,2,7,0,-1
0,8,3,6,0,-1
1,9,3,7,0,-1
1,10,3,6,0,-1
0,10,4,7,0,-1
0,10,5,6,0,-1
3,9,5,7,0,-1
1,10,5,8,0,-1
2,10,4,7,0,-1
2,10,3,6,0,-1
0,10,4,5,0,-1
2,10,3,6,0,-1
0,10,4,7,0,-1
0,10,5,6,0,-1
3,9,5,7,0,-1
2,9,4,6,0,-1
2,9,3,7,0,-1
1,10,3,6,0,-1
2,10,2,7,0,-1
3,9,2,6,0,-1
0,9,3,7,0,-1
2,9,2,6,0,-1
1,10,2,7,0,-1
0,10,3,8,0,-1
2,10,2,7,0,-1
2,10,1,6,0,-1
0,10,2,7,0,-1
3,9,2,6,0,-1
1,10,2,7,0,-1
3,9,2,6,0,-1
0,9,3,7,0,-1
0,9,4,6,0,-1
0,9,5,7,0,-1
1,10,5,6,0,-1
2,10,4,7,0,-1
2,10,3,8,0,-1
2,10,2,7,0,-1
0,10,3,6,0,-1
0,10,4,7,0,-1
0,10,5,6,0,-1
0,10,6,7,0,-1
0,10,7,6,0,-1
2,10,6,7,0,-1
0,10,7,6,0,-1
3,9,7,6,2,-1
1,10,7,7,3,-1
3,9,7,7,4,-1
0,9,8,7,5,-1
0,9,9,8,5,-1
3,8,9,8,6,-1
3,7,9,8,5,-1
3,6,9,8,4,-1
3,5,9,8,5,-1
0,5,10,7,6,999
0,5,10,7,6,999
